WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-36.95 64.45,-36.95 64.5,-36.9 64.5,-36.9 64.45,-36.95 64.45))",Otter,1,Greenland Sea,57B3,7603:246:249:3,64.475,-36.925
"POLYGON ((-28.1 66.6,-28.1 66.65,-28.05 66.65,-28.05 66.6,-28.1 66.6))",Otter,0.58875,Greenland Sea,62C1,7602:468:360:2,66.625,-28.075
"POLYGON ((-40.6 61.95,-40.6 62.0,-40.55 62.0,-40.55 61.95,-40.6 61.95))",Otter,1.65,Greenland Sea,52A3,7604:110:495:4,61.975,-40.575
"POLYGON ((-31.1 65.5,-31.1 65.55,-31.05 65.55,-31.05 65.5,-31.1 65.5))",Otter,6.80712,Greenland Sea,60B8,7603:351:350:2,65.525,-31.075
"POLYGON ((-40.35 62.35,-40.35 62.4,-40.3 62.4,-40.3 62.35,-40.35 62.35))",Otter,3.3,Greenland Sea,53A3,7604:120:133:3,62.375,-40.325
"POLYGON ((-30.8 66.0,-30.8 66.05,-30.75 66.05,-30.75 66.0,-30.8 66.0))",Otter,5.3162833325,Greenland Sea,61B9,7603:360:207:2,66.025,-30.775
"POLYGON ((-30 66.5,-30 66.55,-29.95 66.55,-29.95 66.5,-30 66.5))",Otter,0.9225,Greenland Sea,62C0,7602:469:459:2,66.525,-29.975
"POLYGON ((-26.3 67.35,-26.3 67.4,-26.25 67.4,-26.25 67.35,-26.3 67.35))",Otter,3.45,Greenland Sea,63C3,7602:476:132:4,67.375,-26.275
"POLYGON ((-34.5 65.7,-34.5 65.75,-34.45 65.75,-34.45 65.7,-34.5 65.7))",Otter,0.58875,Greenland Sea,60B5,7603:354:374:2,65.725,-34.475
"POLYGON ((-30.75 66.2,-30.75 66.25,-30.7 66.25,-30.7 66.2,-30.75 66.2))",Otter,4.35925,Greenland Sea,61B9,7603:360:227:1,66.225,-30.725
"POLYGON ((-39.65 63.5,-39.65 63.55,-39.6 63.55,-39.6 63.5,-39.65 63.5))",Otter,1.05,Greenland Sea,56B0,7603:239:456:1,63.525,-39.625
"POLYGON ((-40.5 62.1,-40.5 62.15,-40.45 62.15,-40.45 62.1,-40.5 62.1))",Otter,5.1,Greenland Sea,53A3,7604:120:114:2,62.125,-40.475
